kingdom,group,type,calendar_id,website,social,date_last_checked,location,lat,lng
testing,hi,this,is,Nika,,,,,,
Kingdom of AEthelmearc,Barony of Blackstone Mountain,barony,https://calendar.google.com/calendar/ical/c_d6453db8285ea1492aab076fe4949bcacfb84af6b4ac35188ca7b0e1bbeba2f2%40group.calendar.google.com/public/basic.ics,https://blackstonemountain.aethelmearc.org/index.html,,2026-06-22,"South-Central, WV",39.34563,-81.522901
Kingdom of AEthelmearc,Barony of Delftwood,barony,https://calendar.google.com/calendar/ical/bni344ah5mpqqut0m4b3gsshos%40group.calendar.google.com/public/basic.ics,http://delftwood.aethelmearc.org/,,2026-06-22,"Syracuse, NY",43.048122,-76.147424
Kingdom of AEthelmearc,Barony of Endless Hills,barony,No Calendar Available,http://endlesshills.aethelmearc.org/,,2026-06-22,"Northeastern, PA",40.064833,-76.715664
Kingdom of AEthelmearc,Barony of Rhydderich Hael,barony,https://calendar.google.com/calendar/ical/c_hk52o44q9htpbnme5lrhh07cms%40group.calendar.google.com/public/basic.ics,http://hael.aethelmearc.org/,,2026-06-22,"Niagara Frontier, NY",42.919431,-78.830998
Kingdom of AEthelmearc,Barony of St. Swithin’s Bog,barony,https://calendar.google.com/calendar/ical/c_8d6a8f3d25875c3a684c1b9d9183385297df27a629a58cf35e5df3ca84929486%40group.calendar.google.com/public/basic.ics,http://stswithinsbog.aethelmearc.org/,,2026-06-22,"Cambria, Somerset, Bedford and Westmoreland Co, PA",40.24118,-78.880202
Kingdom of AEthelmearc,Barony of Thescorre,barony,https://calendar.google.com/calendar/ical/thescorre%40aethelmearc.org/public/basic.ics,http://thescorre.aethelmearc.org/,,2026-06-22,"Rochester, NY",43.157285,-77.615214
Kingdom of AEthelmearc,Canton of Beau Fleuve,canton,No Calendar Available,http://beaufleuve.aethelmearc.org/,,2026-06-22,"Niagara Falls, NY",43.084841,-79.070179
Kingdom of AEthelmearc,Canton of Dunloch,canton,No Calendar Available,https://dunloch.aethelmearc.org,,2026-06-22,"Oswego County, NY",43.411297,-76.127984
Kingdom of AEthelmearc,College of Arx Collis,college,No Calendar Available,https://arxcollis.aethelmearc.org,,2026-06-22,"West Liberty University, WV",40.161576,-80.597888
Kingdom of AEthelmearc,College of Silva Vulcani,college,No Calendar Available,https://silvavulcani.wixsite.com/silvavulcani,,2026-06-22,"California University, PA",40.064431,-79.884398
Kingdom of AEthelmearc,Shire of Abhainn Ciach Ghlais,shire,No Calendar Available,http://www.shireofacg.org/,,2026-06-22,"Clinton, Columbia, Lycoming, Montour, Northumberland, Snyder, Sullivan, Tioga, and Union Co, PA",41.049445,-76.931095
